Claim ID,Customer,Month,WeekOfMonth,DayOfWeek,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Fault,FraudFound_P,RepNumber,Days_Policy_Accident,Days_Policy_Claim,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,BasePolicy,Vehicle Class,AccidentArea,Age,Product Name,VehiclePrice,DriverRating,AgeOfVehicle
CLM1000003030,HR48520,Aug,3,Tuesday,Thursday,Sep,2,Policy Holder,0,7,more than 30,more than 30,Yes,No,External,none,no change,Collision,SUV,Urban,29,Sedan - Collision,20000 to 29000,3,4 years
CLM1000003031,VI42566,Sep,2,Tuesday,Tuesday,Sep,2,Policy Holder,0,2,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Four-Door Car,Urban,34,Sedan - Collision,20000 to 29000,3,6 years
CLM1000003032,NU84299,Sep,3,Thursday,Thursday,Sep,3,Policy Holder,0,13,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,23,Sedan - Collision,20000 to 29000,4,5 years
CLM1000003033,RT63209,Apr,4,Thursday,Friday,Jul,1,Policy Holder,1,10,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,29,Sedan - All Perils,30000 to 39000,1,7 years
CLM1000003034,AM52614,Sep,5,Friday,Monday,Oct,1,Policy Holder,0,14,more than 30,more than 30,No,No,External,none,no change,Collision,Sports Car,Urban,35,Sedan - Collision,20000 to 29000,2,6 years
CLM1000003035,UO40192,Sep,4,Wednesday,Thursday,Sep,5,Third Party,0,9,more than 30,more than 30,No,No,External,1 to 2,no change,All Perils,Four-Door Car,Urban,31,Sedan - All Perils,less than 20000,2,6 years
CLM1000003036,SD67101,Sep,3,Friday,Friday,Sep,4,Policy Holder,0,16,more than 30,more than 30,No,No,External,3 to 5,no change,Liability,SUV,Rural,42,Sedan - Liability,20000 to 29000,2,7 years
CLM1000003037,EW35231,Dec,1,Sunday,Tuesday,Dec,1,Policy Holder,0,10,more than 30,more than 30,No,No,External,none,no change,Collision,SUV,Urban,53,Sport - Collision,more than 69000,2,7 years
CLM1000003038,CT18212,Apr,4,Friday,Tuesday,Apr,4,Third Party,0,9,more than 30,more than 30,No,No,External,1 to 2,no change,All Perils,Four-Door Car,Urban,39,Sedan - All Perils,less than 20000,3,7 years
CLM1000003039,YL91587,Oct,1,Thursday,Friday,Oct,1,Policy Holder,0,8,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Two-Door Car,Urban,47,Sedan - Liability,40000 to 59000,3,7 years
CLM1000003040,HS14476,Sep,2,Friday,Monday,Sep,2,Policy Holder,0,3,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,Four-Door Car,Urban,63,Sedan - Collision,20000 to 29000,3,7 years
CLM1000003041,DA28072,Sep,2,Friday,Friday,Sep,2,Policy Holder,0,12,more than 30,more than 30,No,No,External,3 to 5,no change,Liability,Four-Door Car,Urban,39,Sedan - Liability,20000 to 29000,1,7 years
CLM1000003042,JO98946,Apr,4,Friday,Tuesday,Apr,4,Policy Holder,1,9,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,0,Sedan - All Perils,more than 69000,4,new
CLM1000003043,BA26944,Sep,2,Thursday,Monday,Sep,2,Policy Holder,0,3,more than 30,more than 30,No,No,External,1 to 2,no change,Liability,SUV,Urban,71,Sedan - Liability,40000 to 59000,2,more than 7
CLM1000003044,AR47849,Sep,1,Wednesday,Thursday,Sep,2,Third Party,0,8,more than 30,more than 30,Yes,No,Internal,3 to 5,no change,Liability,SUV,Urban,44,Sedan - Liability,30000 to 39000,2,more than 7
CLM1000003045,FO82261,Apr,4,Friday,Tuesday,Apr,4,Policy Holder,1,2,more than 30,more than 30,No,No,External,none,no change,All Perils,SUV,Urban,0,Sedan - All Perils,more than 69000,2,new
CLM1000003046,QO56662,Aug,2,Friday,Tuesday,Aug,4,Third Party,0,14,more than 30,more than 30,No,No,External,none,4 to 8 years,Collision,Two-Door Car,Urban,33,Sedan - Collision,20000 to 29000,1,6 years
CLM1000003047,UF74084,May,3,Friday,Wednesday,Sep,1,Policy Holder,0,1,more than 30,more than 30,No,No,External,1 to 2,no change,Liability,Two-Door Car,Urban,52,Sedan - Liability,20000 to 29000,2,7 years
CLM1000003048,OX75108,May,1,Wednesday,Wednesday,May,1,Policy Holder,0,10,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,62,Sedan - Liability,20000 to 29000,2,6 years
CLM1000003049,QG25195,Dec,3,Monday,Thursday,Dec,4,Third Party,0,8,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,Four-Door Car,Urban,18,Sedan - Collision,20000 to 29000,3,4 years
CLM1000003050,HT50748,Sep,3,Thursday,Wednesday,Sep,4,Third Party,0,2,more than 30,more than 30,No,No,External,more than 5,no change,All Perils,Two-Door Car,Urban,40,Sedan - All Perils,30000 to 39000,1,7 years
CLM1000003051,HC42288,Sep,3,Thursday,Thursday,Sep,3,Policy Holder,0,4,more than 30,more than 30,No,No,External,none,no change,Collision,SUV,Urban,44,Sedan - Collision,20000 to 29000,1,more than 7
CLM1000003052,TC69546,Sep,2,Saturday,Monday,Sep,2,Policy Holder,0,12,more than 30,more than 30,No,No,External,more than 5,no change,Liability,SUV,Urban,41,Sedan - Liability,30000 to 39000,2,7 years
CLM1000003053,GJ63345,Jul,4,Tuesday,Monday,Aug,1,Third Party,0,2,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,26,Sport - Collision,more than 69000,4,6 years
CLM1000003054,RK45396,Apr,4,Friday,Friday,Jun,3,Policy Holder,1,6,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,25,Sedan - All Perils,20000 to 29000,4,3 years
CLM1000003055,YA71207,Jun,4,Tuesday,Monday,Jul,3,Policy Holder,0,1,more than 30,more than 30,No,No,External,more than 5,no change,All Perils,Two-Door Car,Urban,21,Sedan - All Perils,less than 20000,1,5 years
CLM1000003056,FK95213,Feb,3,Friday,Wednesday,Feb,4,Policy Holder,0,12,more than 30,more than 30,No,No,External,none,no change,Collision,Luxury SUV,Urban,29,Sedan - Collision,20000 to 29000,1,6 years
CLM1000003057,MC53402,Feb,3,Thursday,Friday,Mar,2,Policy Holder,0,8,more than 30,more than 30,No,No,External,none,no change,Collision,Two-Door Car,Urban,33,Sedan - Collision,20000 to 29000,4,6 years
CLM1000003058,VU18023,Jan,2,Sunday,Thursday,May,4,Policy Holder,0,8,more than 30,more than 30,No,Yes,External,none,no change,All Perils,Four-Door Car,Urban,32,Utility - All Perils,40000 to 59000,4,7 years
CLM1000003059,VN37592,Jul,3,Monday,Monday,Jul,3,Policy Holder,0,16,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,Four-Door Car,Urban,44,Sedan - Collision,20000 to 29000,2,7 years
CLM1000003060,KL58949,May,2,Sunday,Monday,May,2,Policy Holder,0,12,more than 30,more than 30,No,No,External,none,no change,Liability,Two-Door Car,Urban,55,Sedan - Liability,20000 to 29000,2,more than 7
CLM1000003061,KU14261,Apr,5,Sunday,Tuesday,May,1,Third Party,0,6,more than 30,more than 30,No,No,External,none,2 to 3 years,Collision,Four-Door Car,Urban,76,Sedan - Collision,20000 to 29000,3,more than 7
CLM1000003062,RL97327,Apr,4,Friday,Tuesday,May,1,Third Party,0,13,more than 30,more than 30,No,No,External,3 to 5,no change,All Perils,Four-Door Car,Rural,73,Sedan - All Perils,20000 to 29000,3,more than 7
CLM1000003063,TO60700,Apr,5,Saturday,Monday,May,2,Policy Holder,0,10,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,31,Sedan - All Perils,20000 to 29000,1,6 years
CLM1000003064,CR33417,Apr,4,Thursday,Monday,May,1,Third Party,0,14,more than 30,more than 30,No,No,External,none,no change,Collision,SUV,Urban,33,Sedan - Collision,20000 to 29000,4,7 years
CLM1000003065,ZK90062,Apr,4,Saturday,Tuesday,May,1,Policy Holder,0,11,more than 30,more than 30,No,No,External,none,no change,Collision,Sports Car,Urban,32,Sedan - Collision,30000 to 39000,2,6 years
CLM1000003066,JP44710,Apr,4,Sunday,Wednesday,May,1,Policy Holder,0,14,more than 30,more than 30,No,No,External,none,no change,All Perils,SUV,Rural,35,Sedan - All Perils,30000 to 39000,1,7 years
CLM1000003067,RR93140,Apr,4,Saturday,Wednesday,Apr,4,Policy Holder,0,3,more than 30,more than 30,No,No,External,more than 5,4 to 8 years,Collision,Four-Door Car,Urban,36,Sedan - Collision,30000 to 39000,1,7 years
CLM1000003068,HW56522,Apr,3,Tuesday,Tuesday,May,1,Policy Holder,0,8,more than 30,more than 30,Yes,No,External,none,no change,Collision,Luxury Car,Urban,53,Sedan - Collision,20000 to 29000,2,6 years
CLM1000003069,LR27773,Dec,5,Wednesday,Monday,Jan,1,Policy Holder,0,2,more than 30,more than 30,No,No,Internal,none,no change,Collision,Four-Door Car,Urban,49,Sedan - Collision,30000 to 39000,2,more than 7
CLM1000003070,CT88432,Dec,4,Friday,Friday,Dec,4,Policy Holder,0,4,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,41,Utility - All Perils,more than 69000,1,7 years
CLM1000003071,OK86731,Dec,4,Thursday,Wednesday,Dec,5,Third Party,0,3,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Sports Car,Urban,33,Sedan - Liability,30000 to 39000,2,6 years
CLM1000003072,GB75821,Dec,2,Tuesday,Tuesday,Dec,3,Third Party,0,13,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Luxury SUV,Urban,30,Sedan - Collision,20000 to 29000,3,7 years
CLM1000003073,KL48832,Dec,2,Monday,Friday,Dec,4,Policy Holder,0,8,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,30,Sedan - Collision,30000 to 39000,2,6 years
CLM1000003074,CA54112,Oct,3,Monday,Monday,Oct,3,Policy Holder,0,5,more than 30,more than 30,No,No,External,none,no change,Collision,Two-Door Car,Urban,34,Sedan - Collision,20000 to 29000,4,6 years
CLM1000003075,VC43751,Sep,4,Monday,Thursday,Sep,5,Policy Holder,0,4,more than 30,more than 30,No,No,External,none,no change,Collision,Two-Door Car,Urban,46,Sedan - Collision,20000 to 29000,3,7 years
CLM1000003076,BC87551,Sep,2,Wednesday,Monday,Sep,3,Policy Holder,0,9,more than 30,more than 30,No,No,External,none,no change,Liability,SUV,Urban,46,Sedan - Liability,20000 to 29000,4,7 years
CLM1000003077,TD58354,Sep,1,Tuesday,Tuesday,Sep,1,Policy Holder,0,1,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Four-Door Car,Urban,50,Sedan - Liability,20000 to 29000,3,7 years
CLM1000003078,XM19715,Sep,1,Tuesday,Thursday,Sep,3,Third Party,0,11,more than 30,more than 30,No,No,External,3 to 5,no change,All Perils,Two-Door Car,Urban,67,Sedan - All Perils,20000 to 29000,4,more than 7
CLM1000003079,KH19280,Apr,4,Saturday,Friday,May,1,Policy Holder,1,2,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Four-Door Car,Urban,34,Sedan - Collision,20000 to 29000,2,7 years
CLM1000003080,GE50763,Aug,2,Sunday,Monday,Aug,2,Policy Holder,0,12,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Four-Door Car,Urban,47,Sedan - Collision,30000 to 39000,3,6 years
CLM1000003081,VW63894,Jul,3,Saturday,Monday,Jul,3,Policy Holder,0,16,more than 30,more than 30,No,No,External,3 to 5,no change,Collision,Four-Door Car,Urban,41,Sedan - Collision,20000 to 29000,3,6 years
CLM1000003082,YX36936,Jul,3,Thursday,Thursday,Jul,4,Third Party,0,9,more than 30,more than 30,No,No,External,more than 5,no change,Collision,SUV,Urban,30,Sedan - Collision,20000 to 29000,3,6 years
CLM1000003083,AF49625,Jul,2,Thursday,Wednesday,Jul,4,Policy Holder,0,8,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Two-Door Car,Urban,61,Sedan - Collision,20000 to 29000,1,more than 7
CLM1000003084,QN30162,Jul,2,Thursday,Monday,Jul,3,Policy Holder,0,8,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,56,Sedan - Liability,30000 to 39000,3,more than 7
CLM1000003085,UI21548,Jun,2,Thursday,Monday,Jun,2,Policy Holder,0,14,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Two-Door Car,Urban,45,Sedan - Liability,30000 to 39000,2,7 years
CLM1000003086,IN52645,Jun,2,Wednesday,Thursday,Jun,4,Policy Holder,0,12,none,more than 30,No,No,External,none,no change,Collision,SUV,Urban,47,Sedan - Collision,20000 to 29000,3,more than 7
CLM1000003087,CQ76030,May,3,Thursday,Thursday,May,3,Policy Holder,0,5,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,0,Sedan - Liability,more than 69000,2,new
CLM1000003088,BW94308,Apr,4,Saturday,Tuesday,Apr,4,Policy Holder,1,7,more than 30,more than 30,No,No,External,3 to 5,4 to 8 years,All Perils,Two-Door Car,Rural,34,Sedan - All Perils,20000 to 29000,1,6 years
CLM1000003089,PP39078,Apr,5,Friday,Wednesday,May,2,Policy Holder,0,1,more than 30,more than 30,No,No,External,more than 5,no change,All Perils,Four-Door Car,Urban,28,Sedan - All Perils,more than 69000,2,7 years
CLM1000003090,LM86393,Apr,3,Tuesday,Wednesday,Apr,3,Policy Holder,0,4,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,60,Sedan - Liability,20000 to 29000,1,7 years
CLM1000003091,NB81923,Apr,3,Wednesday,Wednesday,May,1,Third Party,0,15,8 to 15,more than 30,No,No,External,none,no change,Collision,Sports Car,Urban,49,Sport - Collision,more than 69000,1,more than 7
CLM1000003092,SZ61347,Jun,4,Saturday,Monday,Jun,4,Policy Holder,0,16,more than 30,more than 30,No,No,External,more than 5,no change,Collision,SUV,Urban,27,Sedan - Collision,20000 to 29000,3,6 years
CLM1000003093,VM53683,Oct,2,Wednesday,Wednesday,Oct,3,Policy Holder,0,3,more than 30,more than 30,No,No,External,3 to 5,no change,All Perils,Four-Door Car,Urban,27,Utility - All Perils,more than 69000,4,6 years
CLM1000003094,BA38428,May,2,Saturday,Tuesday,May,2,Policy Holder,0,6,more than 30,more than 30,No,No,External,1 to 2,no change,All Perils,Four-Door Car,Rural,69,Sedan - All Perils,20000 to 29000,3,more than 7
CLM1000003095,FX80133,Apr,3,Friday,Tuesday,May,2,Policy Holder,0,16,more than 30,more than 30,No,No,External,1 to 2,1 year,All Perils,Four-Door Car,Urban,37,Sedan - All Perils,20000 to 29000,1,more than 7
CLM1000003096,MT41386,Apr,4,Sunday,Tuesday,May,1,Policy Holder,1,9,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Two-Door Car,Urban,27,Sedan - Collision,20000 to 29000,1,7 years
CLM1000003097,KV53202,Feb,3,Friday,Thursday,Feb,4,Policy Holder,0,15,more than 30,more than 30,No,No,External,none,no change,Liability,Two-Door Car,Urban,0,Sedan - Liability,more than 69000,1,new
CLM1000003098,DB79694,Apr,4,Sunday,Tuesday,May,1,Policy Holder,1,16,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,30,Sedan - Collision,20000 to 29000,1,5 years
CLM1000003099,VY75186,Apr,4,Sunday,Tuesday,Apr,4,Third Party,0,4,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,35,Sedan - All Perils,20000 to 29000,4,5 years
CLM1000003100,IR57729,Feb,2,Saturday,Wednesday,Mar,1,Policy Holder,0,2,more than 30,more than 30,No,No,External,1 to 2,no change,All Perils,Two-Door Car,Urban,29,Sedan - All Perils,20000 to 29000,4,7 years
CLM1000003101,FG16885,Mar,1,Monday,Tuesday,Mar,2,Policy Holder,0,16,more than 30,more than 30,No,No,External,none,no change,Liability,SUV,Urban,49,Sedan - Liability,more than 69000,3,more than 7
CLM1000003102,NW21079,Apr,2,Sunday,Wednesday,Apr,3,Policy Holder,0,12,more than 30,more than 30,No,No,External,none,no change,Liability,Two-Door Car,Urban,53,Sedan - Liability,30000 to 39000,2,7 years
CLM1000003103,FR81224,Dec,3,Friday,Friday,Dec,3,Policy Holder,0,2,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Two-Door Car,Urban,26,Sedan - Liability,30000 to 39000,1,6 years
CLM1000003104,YK92213,Dec,3,Friday,Friday,Dec,4,Policy Holder,0,11,more than 30,more than 30,No,No,External,3 to 5,no change,Collision,Sports Car,Urban,29,Sedan - Collision,20000 to 29000,1,7 years
CLM1000003105,JV99867,Dec,3,Sunday,Thursday,Dec,4,Policy Holder,0,16,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,Four-Door Car,Urban,38,Sedan - Collision,30000 to 39000,1,more than 7
CLM1000003106,TN66124,Dec,3,Monday,Wednesday,Dec,3,Policy Holder,0,3,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Two-Door Car,Urban,21,Sedan - Collision,30000 to 39000,4,5 years
CLM1000003107,NT78297,Dec,3,Saturday,Thursday,Dec,4,Policy Holder,0,15,more than 30,more than 30,No,No,External,1 to 2,no change,All Perils,Two-Door Car,Urban,32,Sedan - All Perils,less than 20000,2,6 years
CLM1000003108,KG49115,Dec,3,Monday,Monday,Dec,3,Policy Holder,0,6,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,42,Sedan - Liability,40000 to 59000,4,7 years
CLM1000003109,WC77067,Dec,3,Wednesday,Thursday,Dec,4,Policy Holder,0,9,more than 30,more than 30,No,No,External,none,4 to 8 years,Liability,SUV,Urban,28,Sedan - Liability,20000 to 29000,2,6 years
CLM1000003110,DW62397,Dec,4,Saturday,Wednesday,Dec,4,Policy Holder,0,5,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Four-Door Car,Urban,53,Sedan - Collision,20000 to 29000,4,6 years
CLM1000003111,GK67747,Dec,4,Friday,Friday,Dec,4,Policy Holder,0,6,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Four-Door Car,Rural,36,Sedan - Liability,30000 to 39000,4,more than 7
CLM1000003112,QM39493,Dec,4,Friday,Tuesday,Dec,4,Policy Holder,0,13,more than 30,more than 30,Yes,Yes,External,none,no change,All Perils,Four-Door Car,Urban,60,Sedan - All Perils,30000 to 39000,4,more than 7
CLM1000003113,JD11661,Dec,3,Wednesday,Thursday,Dec,4,Policy Holder,0,3,more than 30,more than 30,Yes,No,External,1 to 2,no change,All Perils,SUV,Urban,18,Sedan - All Perils,20000 to 29000,3,4 years
CLM1000003114,PT73521,Dec,1,Saturday,Monday,Dec,1,Policy Holder,0,16,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Four-Door Car,Urban,62,Sedan - Collision,20000 to 29000,3,more than 7
CLM1000003115,TC99043,Nov,5,Thursday,Monday,Dec,1,Policy Holder,0,8,more than 30,more than 30,No,No,External,none,no change,Liability,SUV,Urban,53,Sedan - Liability,20000 to 29000,2,7 years
CLM1000003116,PY50779,Jul,2,Sunday,Friday,Jul,5,Policy Holder,0,15,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,74,Sedan - Liability,20000 to 29000,4,more than 7
CLM1000003117,FK97285,Jun,3,Wednesday,Thursday,Jun,3,Third Party,0,12,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Four-Door Car,Urban,20,Sport - Collision,more than 69000,4,3 years
CLM1000003118,JG12505,Apr,4,Monday,Tuesday,May,2,Policy Holder,1,7,more than 30,more than 30,No,No,External,none,no change,All Perils,SUV,Urban,51,Sedan - All Perils,20000 to 29000,4,7 years
CLM1000003119,FX65946,Nov,5,Monday,Thursday,Mar,2,Policy Holder,0,6,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,32,Sedan - Collision,20000 to 29000,2,6 years
CLM1000003120,OU88023,Nov,1,Thursday,Monday,Nov,3,Policy Holder,0,3,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,SUV,Urban,34,Sedan - Collision,30000 to 39000,4,5 years
CLM1000003121,XN32623,Oct,5,Friday,Friday,Oct,5,Policy Holder,0,7,more than 30,more than 30,No,No,Internal,more than 5,no change,Liability,Four-Door Car,Urban,32,Sedan - Liability,30000 to 39000,1,7 years
CLM1000003122,EV78251,Jun,3,Tuesday,Friday,Jun,4,Policy Holder,0,9,more than 30,more than 30,No,No,External,3 to 5,no change,Liability,Two-Door Car,Urban,26,Sedan - Liability,20000 to 29000,1,7 years
CLM1000003123,HC80108,Jun,3,Saturday,Monday,Jun,3,Policy Holder,0,5,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,44,Sedan - Collision,30000 to 39000,3,6 years
CLM1000003124,LG45661,Oct,4,Friday,Friday,Nov,2,Third Party,0,2,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Four-Door Car,Urban,41,Sedan - Collision,30000 to 39000,1,more than 7
CLM1000003125,ZJ22132,Jan,3,Thursday,Monday,Jan,5,Policy Holder,0,14,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,30,Sedan - Collision,20000 to 29000,4,6 years
CLM1000003126,LG53863,May,2,Tuesday,Monday,May,3,Third Party,0,14,more than 30,more than 30,No,No,External,3 to 5,no change,Collision,SUV,Urban,28,Sedan - Collision,30000 to 39000,2,7 years
CLM1000003127,KR87696,Jun,1,Thursday,Thursday,Jun,2,Policy Holder,0,10,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,34,Sedan - Liability,20000 to 29000,2,5 years
CLM1000003128,LN44535,May,3,Friday,Monday,May,4,Third Party,0,2,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Rural,45,Sedan - Collision,more than 69000,2,7 years
CLM1000003129,FU63281,May,3,Wednesday,Wednesday,May,4,Third Party,0,13,more than 30,more than 30,No,No,External,3 to 5,no change,Collision,Four-Door Car,Rural,34,Sedan - Collision,20000 to 29000,2,5 years
CLM1000003130,KV17007,Apr,4,Tuesday,Monday,May,1,Policy Holder,1,8,more than 30,more than 30,No,No,External,none,4 to 8 years,All Perils,Four-Door Car,Urban,0,Sedan - All Perils,more than 69000,3,new
CLM1000003131,GR42174,Jul,1,Friday,Monday,Jul,1,Third Party,0,6,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,34,Sedan - Liability,more than 69000,3,5 years
CLM1000003132,SR71812,Apr,4,Tuesday,Tuesday,Apr,4,Policy Holder,1,6,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,36,Sedan - Liability,30000 to 39000,3,7 years
CLM1000003133,CA29908,Jul,3,Sunday,Wednesday,Aug,1,Third Party,0,15,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,26,Sedan - All Perils,20000 to 29000,2,7 years
CLM1000003134,OB98149,Jul,3,Saturday,Monday,Jul,3,Policy Holder,0,5,more than 30,more than 30,No,No,External,none,no change,Collision,Two-Door Car,Urban,30,Sedan - Collision,more than 69000,3,6 years
CLM1000003135,FX30915,Aug,2,Sunday,Tuesday,Aug,2,Policy Holder,0,4,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Two-Door Car,Urban,41,Sedan - Liability,20000 to 29000,2,more than 7
CLM1000003136,OC39051,Aug,2,Saturday,Tuesday,Aug,3,Policy Holder,0,2,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,31,Sedan - Collision,20000 to 29000,1,7 years
CLM1000003137,LW80918,Sep,4,Wednesday,Friday,Sep,4,Policy Holder,0,3,more than 30,more than 30,No,No,External,none,no change,All Perils,Two-Door Car,Urban,52,Sedan - All Perils,20000 to 29000,2,more than 7
CLM1000003138,EC94366,Sep,3,Sunday,Wednesday,Sep,4,Policy Holder,0,10,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,30,Sedan - All Perils,less than 20000,1,6 years
CLM1000003139,PI92163,Oct,2,Monday,Wednesday,Oct,3,Policy Holder,0,2,more than 30,more than 30,No,No,External,3 to 5,no change,Liability,Four-Door Car,Urban,45,Sedan - Liability,20000 to 29000,3,7 years
CLM1000003140,LZ68649,Oct,1,Thursday,Friday,Oct,2,Policy Holder,0,16,more than 30,more than 30,No,No,External,3 to 5,no change,Liability,SUV,Rural,30,Sedan - Liability,30000 to 39000,4,5 years
CLM1000003141,IB39821,Apr,4,Tuesday,Thursday,May,1,Policy Holder,1,1,more than 30,more than 30,No,No,External,none,no change,Collision,Sports Car,Rural,36,Sedan - Collision,20000 to 29000,4,7 years
CLM1000003142,WI75766,Oct,4,Wednesday,Thursday,Oct,4,Policy Holder,0,15,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,38,Sedan - Liability,30000 to 39000,1,7 years
CLM1000003143,DR27120,Apr,4,Tuesday,Tuesday,May,3,Policy Holder,1,10,more than 30,more than 30,No,No,External,more than 5,no change,All Perils,Two-Door Car,Urban,35,Sedan - All Perils,20000 to 29000,3,7 years
CLM1000003144,UQ67668,Nov,2,Tuesday,Thursday,Nov,3,Policy Holder,0,14,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Four-Door Car,Urban,36,Sedan - Collision,more than 69000,2,6 years
CLM1000003145,PR64751,Dec,4,Monday,Monday,Jan,1,Policy Holder,0,15,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Two-Door Car,Urban,43,Sedan - Liability,30000 to 39000,1,7 years
CLM1000003146,CL79250,Dec,4,Thursday,Monday,Jan,1,Third Party,0,7,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Luxury Car,Urban,61,Sedan - Liability,more than 69000,4,6 years
CLM1000003147,ZR72236,May,3,Monday,Friday,May,3,Policy Holder,0,12,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,Two-Door Car,Urban,52,Sedan - Collision,20000 to 29000,2,5 years
CLM1000003148,SG52649,May,3,Monday,Monday,May,3,Policy Holder,0,3,more than 30,more than 30,No,No,External,none,no change,Liability,Sports Car,Urban,28,Sedan - Liability,30000 to 39000,1,7 years
CLM1000003149,SG96896,Apr,4,Tuesday,Tuesday,May,2,Third Party,0,4,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,45,Sedan - Collision,20000 to 29000,3,7 years
CLM1000003150,QJ50723,Nov,4,Wednesday,Wednesday,Nov,4,Policy Holder,0,2,more than 30,more than 30,No,No,External,none,no change,Collision,SUV,Urban,28,Sedan - Collision,20000 to 29000,4,6 years
CLM1000003151,NU64028,Jun,4,Wednesday,Wednesday,Jun,4,Policy Holder,0,13,more than 30,more than 30,No,No,External,1 to 2,4 to 8 years,Liability,Sports Car,Rural,53,Sedan - Liability,more than 69000,1,more than 7
CLM1000003152,PM63319,Aug,5,Wednesday,Thursday,Sep,1,Policy Holder,0,6,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Rural,32,Sedan - Collision,20000 to 29000,1,5 years
CLM1000003153,YG46815,Jul,3,Tuesday,Tuesday,Jul,4,Policy Holder,0,11,more than 30,more than 30,No,No,External,3 to 5,no change,Collision,SUV,Urban,51,Sedan - Collision,20000 to 29000,3,7 years
CLM1000003154,XF94149,Jul,3,Tuesday,Wednesday,Jul,3,Policy Holder,0,15,more than 30,more than 30,No,No,External,more than 5,no change,Collision,SUV,Urban,38,Sedan - Collision,20000 to 29000,2,7 years
CLM1000003155,ME99882,Dec,1,Saturday,Wednesday,Jan,1,Third Party,0,4,more than 30,more than 30,No,No,External,3 to 5,no change,Collision,Two-Door Car,Urban,55,Sedan - Collision,20000 to 29000,2,7 years
CLM1000003156,YZ67161,Nov,5,Wednesday,Wednesday,Dec,4,Policy Holder,0,7,more than 30,more than 30,No,No,External,1 to 2,no change,Liability,SUV,Urban,32,Sedan - Liability,20000 to 29000,1,6 years
